1-qid,two_realRank2,two_realRank,State,MART,RandomFor,ndcg_term_MART,ndcg_term_RandomFor
2013,659,130,University of Northern Colorado,129,129,0.000216088,0.000216088
2014,1,1,Harvard University,1,1,1,1
2014,3,2,Stanford University,1,3,0.333333333,0.166666667
2014,5,3,Massachusetts Institute of Technology,1,5,0.2,0.077370561
2014,6,4,Columbia University in the City of New York,9,2,0.050171666,0.105154959
2014,8,5,University of Chicago,5,4,0.048356601,0.05383457
2014,12,6,Washington University in St Louis,10,8,0.024088736,0.02628874
2014,13,7,University of Pennsylvania,14,7,0.019689079,0.025641026
2014,15,8,Yale University,1,6,0.066666667,0.023747146
2014,17,9,Northwestern University,7,9,0.019607843,0.017707647
2014,19,10,Boston University,24,14,0.011333594,0.013471475
2014,21,11,Johns Hopkins University,7,11,0.015873016,0.013282997
2014,23,12,Case Western Reserve University,16,16,0.01063698,0.01063698
2014,24,13,University of California-Los Angeles,11,15,0.011622623,0.010416667
2014,26,14,Duke University,5,10,0.014878954,0.011117878
2014,27,15,Rice University,22,12,0.008187583,0.010008821
2014,28,16,Brown University,20,17,0.00813108,0.008564731
2014,29,17,Cornell University,13,13,0.009056881,0.009056881
2014,30,18,Carnegie Mellon University,27,23,0.00693382,0.007270143
2014,32,19,Tufts University,15,18,0.0078125,0.007356529
2014,35,20,University of California-Berkeley,23,20,0.006231551,0.006504864
2014,42,21,University of Wisconsin-Madison,32,21,0.004719997,0.005339139
2014,44,22,University of Southern California,18,19,0.005350203,0.005258596
2014,46,23,University of Michigan-Ann Arbor,17,22,0.005213314,0.004805755
2014,50,24,University of Pittsburgh-Pittsburgh Campus,35,27,0.003868528,0.004160292
2014,54,25,University of California-Davis,38,24,0.00350371,0.003987746
2014,55,26,Vanderbilt University,28,29,0.00374267,0.003705364
2014,58,27,University of Virginia-Main Campus,26,30,0.003626033,0.003480157
2014,60,28,New York University,19,26,0.003856304,0.003505165
2014,62,29,Emory University,21,25,0.003616836,0.003431388
2014,64,30,University of Washington-Seattle Campus,12,28,0.004222471,0.003216357
2014,66,31,University of Minnesota-Twin Cities,35,31,0.002930703,0.003030303
